review_title,review_rating,review_date,review_body
"courteous and polite staff.Housekeeping and dine in room service staff, really appreciate your service.love the ambience",40,Date of stay: July 2023,"courteous and polite staff.Housekeeping and dine in room service staff, really appreciate your service.love the ambience hospitality every thing.i met with Shazia she was kind or good . thank you Shazia .or hotel the royal plaza .ee had good experience with you"
Very kindly staff,50,Date of stay: July 2023,"Royal plaza is very amazing, it's a pleasure of mine to stay here. It's just such a magic place. Staff was very humble and very helpful . Thank you so much for your warm welcome and flawless presence. Thank you royal plaza for making my Indian trip a memorable and precious experience"
Good service,50,Date of stay: July 2023,We stayed here for 2 night . We had great experiences with hotel or hotel staff is so good or polite i never seen this type of hospitality . If i will come delhi i will here definitely .we met with shazia we was very nice girl thanks shazia❤️❤️
Mrs. Universe show in Royal plaza,50,Date of stay: July 2023,"I came to royal plaza for the audition of Mrs. Univers and must say that the hotel beauty is on top.
We had great time in that hotel
Banquets was very well maintained
Thanks to my entire team who made me to come Royal plaza
Also simran is interactive"
Corporate Event in June '23,50,Date of stay: June 2023,We did a corporate event with 125 pax at The Royal Plaza Delhi on 24th June'23 and are 100% satisfied with the quality of services. Banquet Manager was extremely helpful and even handled some last minute requirements from our side. Food and hospitality was up to the mark... Really recommend The Royal Plaza Delhi to all.
The Music is what gets you,50,Date of stay: March 2023,"Amazing ambience, rooms to stay in, food and specially the music being played in the entrance corridor by Fabio Ferns that caught my attention and made me watch the performance from the start tot he end, it was an amazing experience, would recommend!"
A Grand hotel for Tourists,30,Date of stay: June 2023,"Royal Plaza is located very near to India Gate. A quiet neighbourhood. Antiques in the lobby. On some days , their antique piano is played in the evening. A comfortable hotel with very supportive housekeeping staff. Sumptuous Breakfast spread with attentive staff. They have a garden area and pool with a Microbrewery. Overall a grand looking Hotel. Excellent for doing morning walks to India Gate.

But I feel they are mostly tuned to catering to Tour groups. All rooms payments are taken in advance at Check In, all room service / Laundry
have to be paid then and there---all not usually practiced for Corporate customers. The main draw back is the reception staff who are mechanical. At Check In they dont brief you on what services you get as part of your package. You might end up missing out on Complimentary dinner which ""might"" be actually part of your package.

Rooms are rather small ."
Superb experience till now.,50,Date of stay: June 2023,"Stayed 2 days here and the experience was superb and planning to stay more here in my next visit. Break fast is good and room service is also good , staff very co operative and rates also compatible."
Wonderful experience.,50,Date of stay: June 2023,"Wonderful place to stay, service was perfect, hotel team friendly and accommodating an that has impressed us most , we would not dream of staying anywhere other than royal plaza when we are an in india . All the staff were amazing. Thank you so much for makings me feel comfortable."
Lovely Music in the Lobby,50,Date of stay: December 2022,"The rooms were perfectly sized with clean bathrooms. Had a wonderful dip in the pool with absolutely gorgeous ambiance made perfect by the dulcet tones of Fabio, the pianist! Made me want to just stay in the lobby, thanks to Fabio."
Delightful Piano Music,50,Date of stay: December 2022,I was actually there in December 2019 and had a great time overall. Still left with the fond memory of enjoying Fabio’s piano music for an hour in the lobby. I was tired from a long day of work but his music made my whole trip. Thank you Fabio!
Wonderful experience,50,Date of stay: June 2023,Yesterday im checked out of hotel the royal plaza new delhi . Our experience was nothing less than fantastic i treid pool . I enjoy a lot there also i trid food form here it’s so delicious 🤤 i tried red souce pasta 🍝 i enjoy a lot here .hotel look so royal
Amazing experience,50,Date of stay: June 2023,First off all I share the hotel beauty .hotel the royal plaza it’s name is also beautiful .hotel look royal .and service is also fast ne good if I talk abato houseking department people it’s helpful . Front office people they good .I tried Dal makhni is good ❤️ food is delicious
Good stay,50,Date of stay: June 2023,I really like the management prosses and it is really good ….i feel really good in my vacations …and the view was nice .hotel beautiful look royal .food is so delicious . One of my fav Biryani i never tried this much testy biryani form here
Good stay,50,Date of stay: June 2023,"I loved the hospitality at this hotel. The facility is Royal as the name suggests, and has a magnificent ambience. The reception staff checked me on quickly and I was given a pool facing room.
Shazia gave me a warm and pleasant welcome at the hotel lobby and explained the hotel amenities and services which made me feel comfortable and reassured.
The restaurant serves excellent breakfast spread of fruits, South Indian,.north Indian and continental. I would highly recommend this hotel for both short and long stays."
great experience.,50,Date of stay: June 2023,"very comfortable and good experience . very helpful staff , services was very good . especially thanks to simran and sazia was good attendant . good food . nice place highly recommended to all of you . thank you so much making me feel very comfortable."
Great experience,50,Date of stay: June 2023,"Hotel royal plaza is very amazing with his hospitality and the rooms are very beautiful. Entire staff was wonderful and good.i was staying in the hotel with friends and we reached after a long journey from patiala . Lobby decor was soothing and grand.they have onyx pillars in the lobby which is really Royal.staff at reception was warm and cordial.Room was given on 9th floor with a good view .we felt welcomed and were comfortable during our stay here .
Next time I will bring my family also to enjoy the place and it's hospitality."
Good stay,50,Date of stay: June 2023,Hotel royal plaza is one of best hotel . Everyone having good nature they are humble . Service is so good. Again we will visit .pool area is so clean . If I’m talk about food is so good so delicious . The way of serving food is so royal
Excellent,50,Date of stay: June 2023,Mukesh chandra gave us a very homely treatment you can reach out to him anytime you want he is super friendly and this hotel was such a nice experience do visit and enjoy the pool side at night thank you
Stay was amazing,50,Date of stay: June 2023,The Royal Palaza Hotel served us the best food ever. Also the place is hell maintened with good hygiene. We are satisfied with everything with whatever they served us. Atmosphere is very good. Thank you
Amazing hotel Royal plaza,50,Date of stay: May 2023,"I stayed for 3 nights in hotel Royal plaza, delhi. The food was very good and had lot of varieties. The behaviour of staff was excellent. I felt like staying in home. Also, the location was the best. The pool was clean and everyone was Kind and helpful. I have enjoyed my trip."
Beautiful hotel,50,Date of stay: May 2023,"We had a delightful evening at this hotel , where everything was superb from start to finish. The food was very delicious and beautifully presented, with a variety of dishes to suit every taste . The staff was very professionally and helpful. We are a great ful for a such a wonderful dining experience and we can't wait to come back again."
Regular at Royal Plaza Hotel,50,Date of stay: May 2023,"I always come to this hotel I just love the hotel view
My guest is also visit to this hotel for meeting they also like the hotel very much and we always had a great meeting with my guest.
Please do visit this hotel
Coffee shop in lobby is with amazing pastries and bakery items"
F &B sarvice exllent,50,Date of stay: May 2023,Its was short and sweet trip which was taken care of stefen who make sure we get our rooms on time and other necessary items tooo food was also good 😊 especially breakfast 🥞 buffet high tea was their forte try not to miss it
F&B sarvice very nyc thank uuu,50,Date of stay: May 2023,The service is unsurpassed at the royal plaza hotel 🏨 in new delhi our 1st stay here was magnificent and memorable thanks to the stafff specially jannat at this property elaa who made our stat so very special the food 🥑🥝 as was the dinner and the buffet breakfast 🥞 we recommend this hotel when visiting new delhi
Great stay,50,Date of stay: May 2023,"hotel the royal plaza is excellent hotel... service is so good .. everyone having such a kind nd good behaviour... housekeeping department people also helping a lot .if I'm talk about beautiful of this hotel ...hotel look royal ...we have thoroughly enjoyed our stay.the hospitality is really fantastic, from the fornt desk to the restaurant to the tea lounge.the hotel is centrally located with easy access to some of the best places in Delhi."
It was a great structured hotel with good views and pool too. The rooms are comfortable with all the services provided.,50,Date of stay: May 2023,The stay was comfortable and very cooperative staffs too. Had amazing food with great pool view too. It was a good experience. Also the infrastructure is very antique and nice. You can also come here with your friends to have a great dinner.
Great hospitality,50,Date of stay: May 2023,Hotel is very good And the hospitality is very amazing Rooms are very beautiful and especially your Roman garden 😘 front office team is very helpful and very calm. Thank you so much . Food is very delicious and tasty.
Amazing services.,50,Date of stay: May 2023,I am always coming to this hotel feel like home. This is my second home and services is excellent food is also very good. Staff is very helpful. I recommend this hotel to anyone looking to enjoy new Delhi. Thank you so much making me feel very amazing ..
Good hotel,50,Date of stay: May 2023,"Hotel royal plaza is very good . I love the breakfast it is very delicious. The services is very good, staff was very helpful I loved this hotel My room is very nice thank you so much making me feel very comfortable."
Hotel is very amazing.,50,Date of stay: May 2023,"The service was excellent in this hotel. Special restaurant food is good and provided excellent service, Cooperate and very humble .I am very happy with the services. Our experience was excellent. Love to visit again with my family thank you so much."
excellent service,50,Date of stay: May 2023,"royal plaza delhi is the best best hotel ever good stay good rooms good clean and amenities food affordable and tasty drinks bar bistro spa beautiful and service.okay …hotel location great and friendly.
lobby lounge area sitting and arranged very nicely decorated with help ful ."
Extremely happy good.,50,Date of stay: May 2023,"The royal plaza hotel is very good.staff is very good.
Extremely happy stay I m very regular customer with royal plaza Ashoka hotel food is very tasty
Beautiful hotel beautiful hotel location
Staff humble and helpful."
Restaurant is good,50,Date of stay: May 2023,"courteous staff, tasty food, aesthetically pleasing ambience . royal plaza is very nice . All staff are friendly and ready to serve buffet breakfast has a wide selection of food are very tasty . my stay is very comfortable thank you so much ."
Amazing hotel,50,Date of stay: May 2023,"Excelent Ambience , professional ,courteous staff, excellent food. Hospitality at its best. Kudos, keep it up. My first experience in royal plaza it was great . And special tea lounge is very good . Well be looking forwatd to taks service and coming back again . Thank you so much ."
Hotel is very amazing.,50,Date of stay: May 2023,Royal plaza is very beautiful and very nice . Rooms are amazing decor is awsome. And your staff are very helpful and sweet My stay is very good thank you for making me feel comfortable . Restaurant food is also good.
Very bad experience,10,Date of stay: May 2023,"The staff is very unprofessional, rooms are not maintained well, room size is very small, condition of the property is not good, in room dining charges are way to high, will not recommend to any travelers. There are many other good hotels with same price."
Excellent,50,Date of stay: May 2023,Excellent hotel to stay in. Best property with great ambience and soothing environment. Very much satisfied with services by housekeeping especially Mr. Vikesh Kumar sir for timely cleaning of rooms and organizing it for comfortable stay. I would like to extend my gratitude for the whole team. Enjoyed the time here.
Loved this hotel,50,Date of stay: May 2023,"The hotel is amazing. Great staff and very attentive. Once you walked, you see the elegance of the beautiful hotel. It’s elegant , and it captivates your attention. I totally recommend everyone to come."
Hotel royal plaza Delhi,50,Date of stay: May 2023,"The property is really good, location is perfect and easily connected. Metro station is near. Food quality is good. Staff is courteous and polite. The hotel architecture is really good and well maintained. Room service is also good."
Wife is very happy with this hotel stay,50,Date of stay: May 2023,Hotel the royal plaza it was a good stay i m very happy to with my stay room is good nice view food is very yummy my wife is very happy to stay this hotel i will be come back very soon thank you to all
Average accomodation in New Delhi,30,Date of stay: April 2023,"Reasonably OK, the room was quite small, but adequate. Generally clean although I found water leaking in the toilet.
Quite struck by the number of statues scattered in the lobby and elsewhere in the hotel.

The hotel was quite full and that may have been the reason why the staff appeared to be stretched."
F&B ❤️,50,Date of stay: May 2023,"Ambiance was good , the food’s pretty ok , could be better , had a decent experience, would recommend to try . The staff was kind and the live kitchen was good , had a choice of eggs and other live dishes ."
Roman garden is very beautiful,50,Date of stay: May 2023,Hotel is very good and rooms are very nice and I love about the roman garden is very beautiful and very nice also staff is very professional and helpful and cooperative. The restaurant breakfast is very Amazing to have it thank you for giving me feel special.
Food and beverages,50,Date of stay: May 2023,"It was a really nice experience to stay in your hotel. The conduct of the stafff was really appreciating and cooperative especially shivani and jannat who cooperated so much. Food was good as per my taste especially the kashmiri mutton roganjosh. Hope to come again to stay in your hotel.
With regards
Saqibgul."
Visit again n again,50,Date of stay: May 2023,"Wow wow wow this is the only word
I am impressed I came from Ranchi and stayed in this hotel, very nice build they have lovely statues which seems very expensive and amazing
Thanks to all team member of royal plaza
Poolside area is beautifully managed"
VVIP visit to Royal Plaza,50,Date of stay: May 2023,"It was a group Stay in Royal Plaza hotel of Prime minister House all the guest were VVIP
And I must say that the hotel is beautiful everyone is praised that the beauty of the hotel
Team was an excellent if you talk about food in RBB
Coffee shop in Lobby everything was upto mark
Thanks team of Royal Plaza 👍👌👌👌"
Amazing,50,Date of stay: May 2023,Miss Simran is an amazing talent she helped me with all my problems thanks . Amazing staff good breakfast thanks for making my stay comfortable . I loved there suit rooms and they have amazing service staff I am very happy with help of miss Simran
Good hotel and lovely location.,50,Date of stay: May 2023,"Nice stay here royal plaza is very good , Rooms are good and nice view ,the buffet is very amazing all the dishes were very fresh and delicious and your roman garden is very beautiful and your staff is very helpful and sweet . Thanks for making me feel comfortable."
Faboulous hotel,50,Date of stay: May 2023,Hotel royal plaza is very amazing hospitatlity is faboulous .staff is very helpful . The nice view of roman garden this is very beautiful and the room size are very small but the decor is very good. Restaurant food is delicious.
Amazing stay,50,Date of stay: April 2023,"Hotel royal plaza is very good and amazing stay . The rooms are very good and location is also very nice , And the front office team is fabulosos. staff are very helpful and very nice . The restaurant is very amazing"
Good stay,50,Date of stay: April 2023,This hotel is so very nice .we have had a wonderful time discovering everything that delhi .there are no words to describe how wonderful trip is yes the India is more than a place it’s a feeling it will stay with me forever.the royal plaza is spectacular.royal plaza food is beyond excellent.luxury at its best and the staff make you feel at home are very welcoming and professional.
perfect dining experience,50,Date of stay: April 2023,"wow what a perfect dining experience.We booked gazebo and had fish along with super fresh and innovative above standards desserts .The food was tasty, service good and staff was hospitable and warm.Celebrated our 5th anniversary here and it was overwhelming experience.
i will always cherish this experience."
5 star,50,Date of stay: April 2023,We had an incredible stay with happy experiences at royal plaza .this hotel is by far the most amazing hotel .i have ever stayed in everything and I mean everyone impressed me staying at the royal plaza hotel in Delhi they are masters of hospitality and made me feel like royalty.if you need recommendations of the royal plaza .
Good stay during the meeting,40,Date of stay: March 2023,"We stayed here three days to attend a meeting (also at the hotel). The room was very small but cosy. It had a large bed with two bedside tables, one confy chair, a safe and tea making facilities. There was also ironing equipment which was handy for dressing up for the meeting. Unfortunately it had no desk. The bathroom was nice with separate shower. Everything was clean. We had a good view from the window with nobody opposite (so you don't need curtains). The WiFi was a hassle as you had to call every day for a new code which was only valid for two gadgets. As we both attended a work meeting (in the hotel) we needed to have our computers online. So I had no WiFi on my phone for 3 days which was a real nuisance. The breakfast buffet was very good. The meeting facilities were very nice too. The snacks and lunch served at the meeting were good. It is a very large hotel and whenever you needed something from the reception long waits were invovled or you had to call room service a couple of times before getting what you needed. But regardless of the slow service we had a good stay at the hotel."
Nice experience,40,Date of stay: April 2023,"Nice breakfast , nice stay . Rooms are small but neatly managed with good view and location is just fantastic. Overall really good stay and nice experience . Will for sure recommend to anyone . It has a nice pool side seating and a great bar with micro brewery. Don't forget to try"
Excellent stay,50,Date of stay: April 2023,This is the perfect place for a decent stay. The hotel has the first and the best quality brewery with varieties of brews. Enjoyed the finest beer and looking forward to be there very soon again. The ambience is fabulous and food is exotic. What more do we expect ?
Average,30,Date of stay: April 2023,"We reach the hotel by 10 am and we requested for early check in which was communicated to us by 11 AM, after 1130 am I went to reception to check the room status the receptionist was not even interested to communicate properly and she said it will take another one hour. She wasn’t interested to have a proper eye contact and whosoever were there at the reception. (I still remember her name, but I don’t want to mention it, because this review is for her learning and I am sure she will understand

I really appreciate the front office manager who helped me and within a minutes to get a room. Thank you so very much for the support.

Room cleaning and bath towels really need improvement, dental kit , water bottles are basic things which we can keep in the room as it wasn’t there in the room.

Air conditioning wasn’t effective in the room also thermostat has issues as it wasn’t working properly.

Rest everything went well."
Nice choley bhaturey,50,Date of stay: April 2023,Hotel the royal plaza I m staying it was a great trip I have good experience the food is very tasty and yummy breakfast included my package and the chole bhaturey is very yummy I m coming back this hotel again thank you
Excellent stay,50,Date of stay: April 2023,"I stayed here for four days. It was very comfortable and pleasant.

The facilities available make me happy. All the officials are very cordial and cooperative.

I wish to join your hotel again, when I will be at Delhi.

Thanks"
Amazing stay,50,Date of stay: April 2023,There are no words to describe how wonderful trip is the hotel is spectacular staff is very helpful .the services is amazing i loved it .would highly recommended staying at the hotel royal plaza and i also loved spa health club .
Comfortable stay,50,Date of stay: April 2023,It was a excellent stay all staff very good . Over all services was excellent .related food all was very tasty . Lobby was also very nice to sit and have meeting. Coming to staff agin they were very co operative
Good hotel,50,Date of stay: April 2023,"Hotel lobby is greandure,and it looks very lovely. Rooms were cleaned and restaurant area is well maintained and breakfast is delicious. Pool is centrally heated we loved the pool and enjoyed a lot in our stay."
Best and best,50,Date of stay: April 2023,"I have a meeting at royal plaza Delhi .location is good.
Hotel staff is very friendly and helpful.I have experience .entrance to lobby good.”hotel food is very tasty and served by mannered.I have done booking through online get good deal .I m so much happier here the royal plaza Delhi.appreciated"
Poor Service Minded - Charges for Luggage Storage,30,Date of stay: April 2023,We stayed at this hotel for 2 nights and was flying domestically to Amritsar for a night and then re-checking into the hotel for another night. As International travellers we were unable to take all our baggage for the domestic trip. We asked the hotel to store our luggage in the cloak room. This is the first ever hotel where they charge their guests for luggage storage. We were 4 guests with 2 rooms and we had to store 5 pieces of luggage. They charged us INR 200 per piece of baggage and we ended up paying them INR 1000 for just keeping the luggage for 24 hours. Not service minded and poor hospitality. Check in staff were un-professional and cracking jokes and laughing among themselves. The drainage system of the washroom was clogged. Had to inform them to get it done. Overall not a good experience.
Thank-you all staff and service was good,50,Date of stay: April 2023,"The location, the staff managment, Duty Manager along with HK Manager also other staff is highly appreciated everything is in this hotel is excellent.
I hope everybody should once visitto Royal plaza hotel and enjy the stay.
Food was tasty services was also appreciated.
Room.cleaning done by staff was excellence and humble.
I will try to visit this hotel shortly."
Excellent stay in hotel the royal plaza,50,Date of stay: April 2023,"Good stay with hotel the royal plaza. Humble staff, food quality is good, room is very clean,nice stay with them,lobby area is very beautiful, definitely stay again with royal plaza..in reception there is two girl Shubhi they help me a lot thank you royal plaza team.."
Lovely stay,50,Date of stay: April 2023,"Excellent service,great ambiance fully friendly,will definitely come again and refer to others also.food is okay
Nice location and very near market to this hotel .Roman garden and pool which is very much good sit and enjoy.
Thanks
Udan"
Great experience,40,Date of stay: April 2023,"It was a good experience staying at royal plaza. Delhi. Hospitality is good. Staff is very well mannered and polite. Ambience also very good.
Calling in room wasn’t upto mark. Need more variety in breakfast."
Great experience,50,Date of stay: April 2023,"Great experience with hotel royal plaza delhi .
Staff and hotel service and food location excellent.
Special lobby is beautiful with piano music
Stay was comfortable with room view.
I will be there very very soon
Thanks"
Restaurant is very nice,50,Date of stay: April 2023,It’s a good hotel specialy all the staff of reception and service specially I had breakfast in resto the food is really tasty . My stay is very good . The room was clean and good view the location is very good. I can visit again royal plaza with my family. Thank u so much making me feel very special.
Fabulous stay here.,50,Date of stay: April 2023,The hotel is very good and great stay here I like the services very much location is very nice .I had dosage in breakfast in RBB Resto it's really tasty all services staff r polite and good served thank you so much .
Great food and service,50,Date of stay: April 2023,"The service was very fast and good, and the staff were very friendly and accomodative of our needs. The food available was also of very good quality. A visit to this restaurant is a must for any trip to Delhi."
Great stay 👌👍👍,50,Date of stay: April 2023,"great stay 😊
good view of my room and clean room
Restaurant food is great quality
we spend 01 day here and just love the sta
keep up good 👍
we will come back agian to see the beauty of Royal plaza hotel delhi"
Roman Garden view is very beautiful,50,Date of stay: April 2023,"I visited to this hotel for my vacation i had amazing realxing stay here
Everyone is helpful and supportive towards the guest
I love the outside area Roman Garden in the evening you must visit and sit n relax
Please fo visit Royal Plaza"
Food Quality is good,50,Date of stay: April 2023,"The hotel services are good also, they have a variety of food in breakfast buffet I like the dosa quality , hotel is managed very well and they are very helpful staff
I visited many hotel but here is a peace which I love the most
All the areas are very near to this hotel"
Brewery visited,50,Date of stay: April 2023,"I stay in royal plaza, room are small but good , I visited in bar very nice bar , I had fresh craft beer it’s really nice and bar man VINOD provided me very good service, with lots of knowledge about fresh beer."
Love the hotel,50,Date of stay: April 2023,"Hello to Royal plaza hotel
Thanks to all team for making our trip
We are happy to be here and really love the ambiance of the hotel
Beautiful paintings and statues
Really nice the look of hotel
Shopping areas are near to this place"
Trip to Delhi,50,Date of stay: April 2023,"I had a work trip here and they offered a stay at royal plaza hotel the rooms were clean and beautiful hotel I can over all I would love to come back again her
Thanks to all team member who maintained the hotel very well
They also have panchmukhi Ganesh bhagwan in the lobby which is really nice"
It's a beautiful and memorable stay here. I also stayed here frequently about 3 years back. Specifically Puja's house keepi,50,Date of stay: April 2023,"House keeping is very clean and specifically Puja's activities shown that she is a dedicated staff of their team. She clean and provide all the necessary things intelligently.
Entire team also good.
Location is the best.
Reception is un comparable . Really charming"
